sample,ctLeptin,tmLeptin
22-SC,22.4875392914,79.9038085938
66-SC,18.9568481445,79.9038085938
82-SC,20.5173244476,79.9009552002
93-SC,21.0190792084,79.9009552002
118-SC,21.7534275055,79.7524490356
144-SC,21.2793064117,79.7524490356
22-VIS,22.6607780457,79.7493286133
66-VIS,19.7806987762,79.7493286133
82-VIS,19.170791626,79.7437362671
93-VIS,20.4998455048,79.7437362671
118-VIS,22.9300670624,79.7477722168
144-VIS,25.6391220093,79.7477722168
35-SC,21.6272716522,79.9038085938
68-SC,18.6964645386,79.9038085938
83-SC,20.5124740601,79.7520370483
95-SC,21.2007389069,79.9009552002
123-SC,21.1213741302,79.7524490356
149-SC,20.3736400604,79.7524490356
35-VIS,18.521030426,79.6003723145
68-VIS,22.4665184021,79.7493286133
85-VIS,18.8784942627,79.7437362671
95-VIS,26.2375335693,79.7437362671
123-VIS,20.7507266998,79.5988235474
149-VIS,24.7461051941,79.5988235474
38-SC,19.593788147,79.7548522949
73-SC,20.4302120209,79.7548522949
85-SC,19.01811409,79.9009552002
97-SC,18.5033607483,80.0498657227
126-SC,19.2527599335,79.7524490356
150-SC,22.4406681061,79.7524490356
38-VIS,20.3285236359,79.7493286133
73-VIS,23.6481933594,80.0472335815
86-VIS,24.8645477295,79.5948028564
97-VIS,21.4718513489,79.5948028564
126-VIS,19.7856826782,79.8967285156
150-VIS,24.4109573364,79.5988235474
40-SC,21.1519432068,79.7548522949
74-SC,22.1737918854,79.7548522949
86-SC,20.5617046356,79.7520370483
98-SC,19.961763382,79.7520370483
127-SC,21.6794891357,79.7524490356
157-SC,20.3152275085,79.7524490356
40-VIS,22.6460094452,79.6003723145
74-VIS,22.4602622986,79.6003723145
90-VIS,20.1292114258,79.5948028564
98-VIS,22.3072090149,79.5948028564
127-VIS,19.2672920227,79.8967285156
157-VIS,21.5461902618,79.5988235474
45-SC,21.4092063904,79.7548522949
75-SC,19.1873321533,79.7548522949
88-SC,19.2242088318,79.7520370483
100-SC,21.4412250519,79.7520370483
128-SC,21.8120937347,79.7524490356
158-SC,22.9068012238,79.7524490356
45-VIS,24.1775150299,79.6003723145
75-VIS,17.8590488434,79.7493286133
91-VIS,27.6714839935,79.5948028564
100-VIS,21.1520004272,79.5948028564
128-VIS,22.680015564,79.5988235474
158-VIS,20.2689914703,79.5988235474
52-SC,22.7387599945,79.7548522949
76-SC,21.2677879333,79.7548522949
90-SC,19.8981456757,79.9009552002
101-SC,19.3442153931,79.7520370483
130-SC,21.654630661,79.7524490356
162-SC,19.0113925934,79.7524490356
52-VIS,22.4882965088,79.7493286133
76-VIS,19.0980682373,79.7493286133
92-VIS,19.9500961304,79.7437362671
101-VIS,21.707868576,79.7437362671
130-VIS,20.964887619,79.5988235474
162-VIS,19.6953754425,79.7477722168
64-SC,20.2310085297,79.7548522949
77-SC,19.4079341888,79.7548522949
91-SC,19.1213932037,79.9009552002
102-SC,21.3085746765,79.9009552002
135-SC,19.8650417328,79.7524490356
165-SC,21.2660636902,79.9013671875
64-VIS,22.5870494843,79.7493286133
77-VIS,21.210565567,79.7493286133
102-VIS,18.8687438965,79.7437362671
135-VIS,22.6958560944,79.5988235474
165-VIS,21.3977909088,79.7477722168
65-SC,20.6862316132,79.9038085938
78-SC,21.6040687561,79.9038085938
92-SC,20.8016834259,79.9009552002
108-SC,20.3794155121,79.9009552002
138-SC,28.8433742523,79.9013671875
65-VIS,20.3660240173,79.8982772827
78-VIS,19.3846645355,79.7493286133
108-VIS,22.5712680817,79.7437362671
138-VIS,22.5324821472,79.7477722168
